	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
AC113331.1	3	1	3	35	3	1	23	1	2	4	2	2	7	3	4	27	7	2	4	0	2	17	23	3	3	4	23	2	2	4	19	1	11	2	1	15
OR52A4P	0	0	0	15	1	3	5	3	2	1	2	0	1	2	3	9	1	3	1	0	2	9	12	1	0	4	15	2	1	1	10	2	7	1	0	8
OR52A5	1	1	0	16	3	0	4	1	2	0	0	0	1	0	0	5	2	0	3	0	0	3	2	2	1	2	6	0	1	0	7	2	5	2	0	6
OR52A1	2	0	0	22	2	1	6	1	2	0	2	0	3	2	1	15	3	1	1	0	0	7	6	8	1	5	14	1	0	0	5	1	9	0	1	5
OR51A1P	1	0	2	19	4	2	13	3	5	1	4	0	8	4	3	10	3	0	4	2	5	12	17	5	1	4	12	0	1	1	13	2	11	2	2	17
OR52Z1	0	0	1	9	1	0	0	1	2	1	0	1	1	0	0	4	0	0	1	0	0	0	3	0	0	1	3	1	1	0	2	0	2	1	0	4
OR51V1	2	0	0	23	1	3	16	2	5	4	1	1	6	5	0	16	0	1	1	2	2	16	11	7	2	8	19	1	1	2	15	4	12	3	5	17
AC104389.1	0	1	1	3	0	0	1	0	0	0	0	0	1	1	0	4	0	1	0	0	0	2	2	1	0	2	1	0	0	0	0	0	1	1	0	2
RF00621	8	1	10	130	16	4	52	7	10	8	6	5	19	12	9	48	15	6	14	1	7	64	71	24	5	19	94	6	3	11	50	9	55	4	13	72
AC104389.6	30	11	52	843	75	41	424	90	94	37	39	33	197	97	51	473	80	24	118	13	43	449	402	193	60	153	574	62	29	73	484	82	371	55	101	491
HBB	11371	6461	20016	229647	25836	16536	117995	30550	30642	15820	19874	12519	56418	33573	19485	142077	26582	16113	33230	9207	21859	121836	120070	54493	21573	42615	155640	25673	14968	21130	153511	30154	102913	22876	35546	137270
HBBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HBD	4	5	13	227	18	14	110	16	19	9	7	7	70	30	14	129	15	13	23	5	10	183	79	41	16	34	94	13	18	17	135	13	104	17	26	149
HBG1	16	7	30	686	29	35	197	61	48	30	54	36	216	202	34	352	31	58	216	14	38	146	214	111	32	43	229	64	58	158	310	89	291	65	60	950
AC104389.5	15	5	21	586	14	15	114	21	19	24	25	20	84	108	31	136	19	26	98	8	34	78	106	61	19	64	114	28	20	109	233	42	154	26	48	319
OR51B6	1	1	3	16	0	1	9	4	3	2	3	2	2	2	0	11	1	1	4	4	1	14	8	4	1	6	10	2	1	2	17	3	10	4	5	11
AC104389.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBG2	3	2	3	20	2	0	11	5	2	1	2	1	7	1	0	10	3	5	2	1	2	8	11	6	2	4	7	3	4	0	25	2	25	1	3	14
UBQLNL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OR52H1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM6-TRIM34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRIM34	0	1	1	6	1	1	5	1	0	1	1	0	0	0	0	6	0	0	1	0	0	4	2	1	4	2	4	0	0	0	1	1	2	1	2	1
AC104389.4	2	1	7	20	4	1	4	0	1	0	2	1	5	4	0	7	1	2	1	0	6	5	8	4	3	0	4	2	4	1	10	3	7	6	1	14
TRIM22	7	3	3	35	11	8	20	4	6	3	7	5	10	1	11	35	3	7	3	3	5	17	9	7	6	13	33	10	6	8	24	7	17	10	8	14
OR52N2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
TRIM5	1	0	1	10	0	1	4	1	0	0	2	0	1	1	1	10	1	2	2	1	2	5	3	2	0	1	7	1	0	1	7	3	2	1	0	5
OR56A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OR56B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC022762.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022762.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
FAM160A2	0	1	4	1	0	1	1	1	1	2	0	1	1	0	0	4	0	0	0	1	2	1	2	1	2	0	2	1	1	0	2	1	1	0	1	1
CNGA4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCKBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC068733.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
CAVIN3	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0
SMPD1	0	0	1	3	2	3	2	0	1	0	0	1	1	1	1	4	1	1	0	0	0	0	4	0	1	0	6	1	0	2	4	1	4	0	0	3
APBB1	0	0	0	8	1	2	2	0	1	1	0	3	6	0	2	10	1	0	2	1	2	4	3	3	2	3	3	3	1	3	6	0	3	3	0	9
TRIM3	0	0	0	3	0	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	3	0	1	0	1	1
ARFIP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	1	0	4	0	0	0	0	0	1	0	0	0
AC084337.2	2	0	2	11	0	0	5	2	1	3	1	2	1	1	1	6	1	2	2	0	0	5	4	4	1	1	5	1	1	2	7	1	6	2	3	7
DNHD1	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	2	1	0	1	1	4	0	2	1	2	0	0	0	2	0	4	0	1	1
RRP8	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0	0	2	0	0	0	0	3	1	0	0	0	8
ILK	3	3	1	40	1	3	22	5	4	1	2	2	14	3	1	40	11	1	9	0	4	16	17	6	1	9	43	7	1	3	51	1	21	1	7	22
AC091564.2	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1
AC091564.3	0	1	2	4	1	0	2	0	0	1	0	0	3	0	1	3	1	2	0	2	1	4	2	0	0	1	5	1	0	1	5	1	4	0	1	3
TAF10	0	5	2	51	2	6	20	5	10	4	7	2	18	5	3	36	4	5	4	4	5	16	23	7	8	22	39	10	4	7	62	6	27	5	6	26
AC091564.7	2	2	3	10	0	2	8	1	3	2	2	1	2	1	2	4	2	3	2	0	1	7	10	3	2	6	14	5	2	0	16	2	6	2	1	8
AC091564.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
DCHS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
MRPL17	0	0	0	8	1	0	3	2	0	1	0	0	1	0	1	7	0	0	1	0	2	7	2	0	1	3	4	0	1	1	8	0	2	0	3	6
AC091564.1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
GVINP1	4	6	11	23	3	4	11	5	12	8	9	1	7	1	6	14	6	7	2	7	10	6	14	10	7	2	14	6	7	2	18	4	8	7	2	25
GVINP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OR2AG2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF215	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0
AC087280.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ZNF214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLFML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107884.1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	1	1	0	0	3	2	2	2	0	0	1	1	0	0	0	1	0	0	0	0
PPFIBP2	0	0	0	2	2	0	2	2	1	1	1	0	2	0	3	7	0	2	0	1	3	2	0	2	2	0	3	1	0	0	2	2	1	1	1	3
AC107884.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CYB5R2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OVCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC044810.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
NLRP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3F	0	0	2	16	2	2	5	2	1	3	1	1	4	3	2	15	1	1	2	1	3	5	7	1	0	6	11	3	1	3	16	1	9	4	1	15
TUB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
RIC3	0	0	0	3	1	0	2	0	0	0	2	0	1	2	1	0	3	0	1	0	0	1	0	1	0	0	0	0	1	0	3	1	1	1	0	2
LMO1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK33	1	2	0	2	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	1
AC091053.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RPL27A	20	20	24	288	37	30	95	33	45	31	52	31	97	30	39	186	31	28	33	35	54	142	159	51	57	48	158	36	28	33	221	37	139	66	44	299
TRIM66	0	0	0	1	1	1	0	1	1	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	1	1	1	0	2	0	3	0
SNORA3A	1	0	0	11	0	0	2	0	0	1	1	1	1	1	2	4	2	1	0	0	2	0	1	0	0	3	4	1	0	0	3	1	1	2	0	8
SNORA3B	3	4	6	44	2	3	14	5	4	0	4	3	10	3	4	21	8	3	2	7	2	14	17	5	7	3	28	3	4	4	23	1	32	6	4	46
AC026894.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AKIP1	1	0	1	2	0	0	0	0	2	0	1	0	3	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	3	0	0
C11orf16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM9B-AS1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0
TMEM9B	1	2	0	15	2	1	9	3	0	0	0	0	5	2	1	19	3	1	1	1	2	3	4	1	3	6	16	1	1	1	13	2	9	7	2	10
NRIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079296.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCUBE2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AP006259.1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DENND5A	3	0	2	38	6	0	12	10	7	11	5	3	9	7	4	19	5	9	4	3	9	18	10	9	5	5	19	15	3	3	23	1	7	1	5	16
RF00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR13P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM41B	2	0	3	15	4	0	5	3	2	3	2	0	4	1	1	6	2	1	1	0	3	6	2	5	3	0	11	2	0	1	4	5	6	5	2	9
IPO7	0	1	2	15	4	1	8	1	1	0	2	3	5	1	7	11	1	1	3	2	3	5	9	7	1	4	7	4	0	2	11	4	4	3	0	15
SNORA23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC132192.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF143	1	1	0	8	2	0	4	1	2	1	1	0	0	0	0	7	0	0	1	0	4	2	3	3	1	0	5	3	1	0	8	4	1	2	1	2
AC132192.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
WEE1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
RPL23AP65	0	0	2	2	0	0	1	1	1	0	0	0	1	2	0	3	1	0	0	0	0	1	1	1	0	2	5	1	1	0	3	0	1	1	0	2
AC011979.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC011979.1	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2
SWAP70	1	0	0	11	5	4	9	3	4	6	2	2	5	0	3	16	1	4	3	1	0	6	7	4	3	4	12	8	3	4	22	1	5	4	3	14
SBF2-AS1	1	0	0	2	0	0	3	0	1	0	0	0	1	0	1	1	0	0	1	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0
AC011092.2	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	2	2	0	0	1	0	0	0	2	0	0	1	0	0
RNU7-28P	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC100763.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
AC080023.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SBF2	6	2	8	57	15	7	20	13	9	13	6	4	17	8	2	38	7	16	2	8	5	17	27	13	17	11	13	22	7	10	37	8	24	10	23	30
AC080023.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADM	1	1	0	7	1	0	4	0	1	0	1	0	1	0	2	12	0	3	0	0	0	7	3	1	1	1	12	0	0	0	13	2	5	2	1	7
AMPD3	1	0	1	10	0	0	1	2	3	1	0	0	5	2	7	9	0	0	3	1	2	3	5	2	1	2	4	0	0	1	7	1	1	2	2	1
RNU6ATAC33P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4485	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
MTRNR2L8	0	0	1	3	0	0	1	0	1	2	0	0	1	0	0	2	0	1	0	1	0	5	3	0	1	2	0	0	1	0	2	2	4	1	1	4
RNF141	0	1	0	42	8	4	12	3	3	3	1	4	13	7	2	19	7	5	2	3	3	21	16	2	3	6	23	8	4	4	25	6	12	5	3	15
MRVI1-AS1	0	0	0	7	1	0	6	1	1	2	0	1	1	0	2	6	2	0	0	0	3	3	0	1	1	1	6	0	0	0	9	0	2	1	1	3
LYVE1	4	3	2	15	2	1	8	2	3	2	3	0	7	1	6	3	3	7	3	2	4	5	10	5	5	2	5	5	1	1	9	4	3	3	3	13
MRVI1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RF00019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTR9	2	2	7	26	3	3	14	5	4	3	4	3	2	3	1	19	5	4	9	1	2	14	8	3	13	3	16	5	4	3	18	1	6	10	6	16
SNORD97	0	0	1	1	2	0	2	0	0	2	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	1	1
EIF4G2	5	5	5	92	9	6	35	13	8	7	12	7	21	9	9	67	12	18	8	10	18	34	33	18	6	16	69	10	3	11	64	8	34	17	14	57
AC116535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZBED5-AS1	0	1	1	10	0	0	0	2	1	0	0	1	2	0	0	3	1	1	0	0	3	3	1	0	1	3	2	0	0	0	5	0	2	0	2	0
ZBED5	0	1	2	9	2	0	6	4	3	7	4	1	2	1	2	14	2	3	1	1	2	8	4	4	7	1	6	0	2	2	11	0	9	2	2	10
AC069360.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC111188.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023946.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2A3	1	0	0	5	0	1	2	2	3	2	1	0	1	1	1	3	0	0	0	0	0	0	2	0	1	1	1	2	1	0	6	0	1	0	1	8
GALNT18	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0
USP47	3	1	6	39	6	7	8	6	10	5	16	6	11	3	5	18	5	8	6	2	12	15	14	7	11	5	21	11	7	4	16	5	15	9	8	20
AC104383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK3	2	0	1	12	0	4	5	4	2	2	0	1	2	1	0	6	2	2	0	0	4	2	4	3	1	0	7	0	2	1	8	1	4	1	3	7
LINC02547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICAL2	6	6	4	38	7	3	22	5	6	2	8	8	11	7	9	26	8	7	6	5	7	18	13	15	6	10	16	5	4	5	32	4	15	8	8	16
MIR6124	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
AC079329.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PARVA	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1
TEAD1	3	4	5	66	9	3	25	5	10	9	4	7	19	14	16	59	15	7	8	2	9	35	45	7	8	13	55	12	8	3	53	4	21	5	5	37
LINC00958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013762.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARNTL	1	3	1	17	3	2	10	5	3	3	6	6	6	2	3	20	1	9	0	1	5	8	12	7	4	5	12	3	1	3	14	2	7	10	9	13
RN7SKP151	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD10	1	6	1	28	2	2	12	1	3	3	2	2	1	4	3	22	2	3	0	7	3	7	9	3	2	5	11	3	1	4	15	5	6	9	6	10
PTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2P36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAR1	1	4	2	35	5	3	19	4	6	10	9	4	10	4	8	26	8	9	4	5	6	18	24	9	5	3	15	9	4	3	23	3	8	8	11	14
LINC02545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPON1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	3	0	1	0	0	0	0	0	0	3
SPON1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RRAS2	0	0	1	4	1	1	1	3	2	0	1	0	1	1	0	4	0	1	3	0	1	4	0	1	0	0	3	0	3	3	5	0	1	1	1	7
AC018523.1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-49P	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COPB1	1	2	8	18	7	2	8	5	5	2	6	4	13	5	2	18	3	4	5	1	9	7	12	11	8	3	13	6	5	0	22	6	13	9	5	18
AC018523.2	1	1	2	28	3	0	13	8	6	3	3	2	8	2	2	22	2	5	0	1	7	8	17	6	2	4	12	1	0	2	22	10	14	6	4	11
PSMA1	0	4	2	10	2	4	10	9	4	1	10	3	4	2	5	17	3	6	1	0	8	13	11	3	3	3	10	10	6	2	18	4	7	5	6	8
PDE3B	9	9	15	81	13	14	30	20	11	12	24	4	26	12	7	65	9	28	9	20	14	23	35	23	24	13	45	23	5	6	52	21	31	27	21	45
MORF4L1P3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP2R1	0	1	1	7	3	0	4	0	0	0	0	0	1	2	0	4	1	0	0	1	0	1	1	1	0	1	1	1	1	0	2	0	3	1	0	3
CALCB	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
INSC	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
AC073172.2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	1
AC073172.1	0	1	0	4	1	1	1	0	1	0	1	0	4	1	1	4	0	0	1	0	1	2	2	1	0	0	2	3	1	1	1	2	1	0	0	3
AC087379.2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AC087379.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf58	5	5	13	94	17	9	34	9	11	11	17	6	26	7	11	61	13	11	9	9	15	31	40	15	16	12	53	12	3	12	66	9	35	13	24	48
SOX6	1	0	2	26	8	2	13	4	5	4	2	3	9	2	4	16	1	1	2	1	2	15	8	11	1	4	3	3	1	3	22	2	12	1	3	11
RN7SKP90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC116533.1	2	3	3	55	4	2	15	3	7	5	1	4	17	8	9	44	4	3	2	5	5	18	18	8	6	6	47	6	4	8	50	12	34	4	4	73
OR7E14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
PLEKHA7	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	1
SNORD14A	11	7	12	184	23	11	69	11	29	16	24	11	48	25	24	129	21	15	18	16	17	70	93	29	18	41	121	24	14	17	136	17	78	33	26	177
SNORD14B	1	0	0	7	0	0	4	1	3	0	1	1	1	0	1	7	0	0	0	0	1	2	6	0	1	3	7	2	0	1	1	0	5	0	2	7
RPS13	1	2	2	49	1	1	13	2	7	2	6	1	13	3	5	38	7	2	7	2	2	23	18	7	6	7	35	4	2	5	40	6	19	6	2	35
AC126389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
